cluster,instance,timestamp,cpu_usage_percentage
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:00:00,10.26
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:01:00,2.75
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:02:00,2.82
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:03:00,9.34
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:04:00,29.39
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:05:00,5.26
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:06:00,0.51
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:07:00,22.9
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:08:00,24.21
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:09:00,10.39
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:10:00,13.94
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:11:00,19.49
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:12:00,1.44
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:13:00,28.47
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:14:00,26.6
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:15:00,7.83
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:16:00,0.46
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:17:00,28.0
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:18:00,15.03
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:19:00,16.18
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:20:00,20.52
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:21:00,18.48
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:22:00,28.32
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:23:00,28.33
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:24:00,26.02
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:25:00,19.09
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:26:00,24.03
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:27:00,20.32
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:28:00,17.2
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:29:00,3.86
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:30:00,24.34
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:31:00,24.62
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:32:00,18.78
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:33:00,24.61
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:34:00,92.03
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:35:00,6.2
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:36:00,8.22
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:37:00,6.44
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:38:00,11.32
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:39:00,1.17
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:40:00,18.55
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:41:00,10.1
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:42:00,19.67
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:43:00,11.56
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:44:00,20.45
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:45:00,10.22
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:46:00,7.82
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:47:00,14.88
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:48:00,31.24
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:49:00,10.45
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:50:00,28.1
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:51:00,1.18
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:52:00,46.4
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:53:00,29.03
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:54:00,16.44
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:55:00,12.7
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:56:00,17.06
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:57:00,17.28
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:58:00,21.95
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 00:59:00,3.83
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 01:00:00,7.5
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 01:01:00,17.42
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 01:02:00,26.01
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 01:03:00,16.86
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 01:04:00,7.16
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 01:05:00,20.4
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 01:06:00,22.2
cluster8,gke-cluster-1-default-pool-6261a262-j6tv,2024-04-01 01:07:00,7.15
